,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM1(Ug/m3),1.0,-0.09264799411100695,-0.07709951705391425,0.09988830003018521,-0.038951307499870316,-0.019367829191003955,0.01491230098109411,0.011299716095226385,-0.14192125628282193,0.07063650858235102,0.14893009246515673,0.005085123267340511,-0.027713915215236817,-0.018062071425850885,-0.015066082563666648,-0.020328276745114945,0.05499809789694021,-0.015623766143500379,0.024977005785009262,-0.004833305972569932
PM2.5(Ug/m3),-0.09264799411100695,1.0,0.909801275094857,-0.08240303253678549,-0.10050928738520608,-0.08415932224518188,-0.025926375380499724,-0.022988104000424232,0.13551219582148774,-0.1407288915755442,-0.19038463000780784,-0.005516762389906121,0.04203449632808601,0.009857626474427483,0.02603449712355054,0.01210420627170418,-0.06832684343646261,0.03657338645215823,-0.026973437638948303,-0.012684465344975112
PM10(Ug/m3),-0.07709951705391425,0.909801275094857,1.0,-0.014352579129471615,-0.17283083260117799,-0.13481598048924157,-0.1279223317191005,-0.026754162728021638,0.15442773867693352,-0.021733878853558583,-0.0825193633603817,0.0010188349048803281,0.05604038734306964,0.003789916523160304,0.021097243861638755,-0.0002871105428256034,-0.05183035801741003,0.021724528727144768,-0.01638159293954296,-0.01897567733254659
hour,0.09988830003018521,-0.08240303253678549,-0.014352579129471615,1.0,0.0001886201328224279,2.374033050149263e-05,-0.0009471219982321509,-0.02667954694361169,-0.1568257252750228,0.09909529882635196,0.35248763061783844,0.02204848038673316,-0.09327881317012124,-0.022345450317701264,-0.06735354108036112,0.07140617802389294,0.06349283650973303,-0.018596898067970886,0.009406353426282031,0.028929154833620855
EVI,-0.038951307499870316,-0.10050928738520608,-0.17283083260117799,0.0001886201328224279,1.0,0.9040548919984523,0.12764839579698908,0.024930799848801963,0.05955368826102555,-0.011513731127792122,-0.0024240530151364613,-0.0009126286451600952,0.0002352178155426023,-0.017691543357922338,-0.021723888290860523,-0.02301695609288393,0.027533953603553315,0.11865513248808404,-0.07569195007722058,-0.06135919061216104
NDVI,-0.019367829191003955,-0.08415932224518188,-0.13481598048924157,2.374033050149263e-05,0.9040548919984523,1.0,0.14885191671172093,0.023829411463241374,0.09714262691035315,-0.04556603599821893,-0.06799603515421669,-0.01140546389229228,-0.04096250442016087,-0.005287303053543012,-0.04474171796157527,0.04383091339830779,-0.01766284229203438,0.07031191067720166,-0.024192870892474214,-0.004693931423064156
humidity (%),0.01491230098109411,-0.025926375380499724,-0.1279223317191005,-0.0009471219982321509,0.12764839579698908,0.14885191671172093,1.0,0.015266606889393502,-0.11883436705231311,-0.00981236923794268,0.01574682354530081,-0.015144339892688204,-0.0012496582626011408,0.03364492533802998,0.015826130637092695,0.039556860633649354,-0.0688815126240271,-0.022212507196397762,0.009898987597758261,0.03430709823781478
precipitation (mm),0.011299716095226385,-0.022988104000424232,-0.026754162728021638,-0.02667954694361169,0.024930799848801963,0.023829411463241374,0.015266606889393502,1.0,0.027926957402320554,-0.05320485229317393,-0.09194521940018946,-0.05619309207741631,0.04334217452837224,0.024784637977466037,0.01598083040812329,-0.02865304771620682,-0.015672036915722047,0.015165916382422475,-0.022164505740237508,-0.024470472284344326
pressure (kPa),-0.14192125628282193,0.13551219582148774,0.15442773867693352,-0.1568257252750228,0.05955368826102555,0.09714262691035315,-0.11883436705231311,0.027926957402320554,1.0,0.10553310508433945,-0.2767179349705037,-0.022343533849400382,0.06482956664532596,0.001718704558509842,0.03555285388139729,-0.0278087955821528,0.03641920620647976,-0.0506840384554802,-0.01451234686834033,-0.034212956732357684
radiation (W/m2),0.07063650858235102,-0.1407288915755442,-0.021733878853558583,0.09909529882635196,-0.011513731127792122,-0.04556603599821893,-0.00981236923794268,-0.05320485229317393,0.10553310508433945,1.0,0.7562791747898928,0.04902356636010595,-0.004031633679652645,-0.048429064237606116,-0.023299440780772517,-0.13793978842974794,0.159408133218167,-0.0031491478805651695,0.039829869553346484,-0.0557896571442058
temperature (oC),0.14893009246515673,-0.19038463000780784,-0.0825193633603817,0.35248763061783844,-0.0024240530151364613,-0.06799603515421669,0.01574682354530081,-0.09194521940018946,-0.2767179349705037,0.7562791747898928,1.0,0.12041605073526938,-0.10030889833027976,-0.09532982272834503,-0.08673188237696557,-0.10366112997636392,0.17122472137033437,0.0784205294858505,0.04216198278869296,-0.03006984652408252
windspeed (m/s),0.005085123267340511,-0.005516762389906121,0.0010188349048803281,0.02204848038673316,-0.0009126286451600952,-0.01140546389229228,-0.015144339892688204,-0.05619309207741631,-0.022343533849400382,0.04902356636010595,0.12041605073526938,1.0,0.011076648227386103,-0.20529444681304138,-0.013619808474438319,0.02815857988144324,0.03767061433385121,0.017648927905626163,0.03330745670361864,0.026611455500516242
winddirection_E,-0.027713915215236817,0.04203449632808601,0.05604038734306964,-0.09327881317012124,0.0002352178155426023,-0.04096250442016087,-0.0012496582626011408,0.04334217452837224,0.06482956664532596,-0.004031633679652645,-0.10030889833027976,0.011076648227386103,1.0,-0.08839996818198499,-0.09631564629378109,-0.11231281459195812,-0.177489555260394,-0.18006256111451088,-0.12763800853224128,-0.11537938451024952
winddirection_N,-0.018062071425850885,0.009857626474427483,0.003789916523160304,-0.022345450317701264,-0.017691543357922338,-0.005287303053543012,0.03364492533802998,0.024784637977466037,0.001718704558509842,-0.048429064237606116,-0.09532982272834503,-0.20529444681304138,-0.08839996818198499,1.0,-0.07369841172373477,-0.08593905943801589,-0.13581073089981674,-0.13777953298030454,-0.09766552856553017,-0.08828552484748693
winddirection_NE,-0.015066082563666648,0.02603449712355054,0.021097243861638755,-0.06735354108036112,-0.021723888290860523,-0.04474171796157527,0.015826130637092695,0.01598083040812329,0.03555285388139729,-0.023299440780772517,-0.08673188237696557,-0.013619808474438319,-0.09631564629378109,-0.07369841172373477,1.0,-0.09363437817772706,-0.14797175371509724,-0.15011685001666103,-0.10641088111076821,-0.0961909552565418
winddirection_NW,-0.020328276745114945,0.01210420627170418,-0.0002871105428256034,0.07140617802389294,-0.02301695609288393,0.04383091339830779,0.039556860633649354,-0.02865304771620682,-0.0278087955821528,-0.13793978842974794,-0.10366112997636392,0.02815857988144324,-0.11231281459195812,-0.08593905943801589,-0.09363437817772706,1.0,-0.1725485399241472,-0.1750499175556784,-0.12408477771416411,-0.11216741348749727
winddirection_S,0.05499809789694021,-0.06832684343646261,-0.05183035801741003,0.06349283650973303,0.027533953603553315,-0.01766284229203438,-0.0688815126240271,-0.015672036915722047,0.03641920620647976,0.159408133218167,0.17122472137033437,0.03767061433385121,-0.177489555260394,-0.13581073089981674,-0.14797175371509724,-0.1725485399241472,1.0,-0.27663390084381223,-0.1960929577900863,-0.17725977580499852
winddirection_SE,-0.015623766143500379,0.03657338645215823,0.021724528727144768,-0.018596898067970886,0.11865513248808404,0.07031191067720166,-0.022212507196397762,0.015165916382422475,-0.0506840384554802,-0.0031491478805651695,0.0784205294858505,0.017648927905626163,-0.18006256111451088,-0.13777953298030454,-0.15011685001666103,-0.1750499175556784,-0.27663390084381223,1.0,-0.19893565085788867,-0.17982945062431757
winddirection_SW,0.024977005785009262,-0.026973437638948303,-0.01638159293954296,0.009406353426282031,-0.07569195007722058,-0.024192870892474214,0.009898987597758261,-0.022164505740237508,-0.01451234686834033,0.039829869553346484,0.04216198278869296,0.03330745670361864,-0.12763800853224128,-0.09766552856553017,-0.10641088111076821,-0.12408477771416411,-0.1960929577900863,-0.19893565085788867,1.0,-0.12747276730407553
winddirection_W,-0.004833305972569932,-0.012684465344975112,-0.01897567733254659,0.028929154833620855,-0.06135919061216104,-0.004693931423064156,0.03430709823781478,-0.024470472284344326,-0.034212956732357684,-0.0557896571442058,-0.03006984652408252,0.026611455500516242,-0.11537938451024952,-0.08828552484748693,-0.0961909552565418,-0.11216741348749727,-0.17725977580499852,-0.17982945062431757,-0.12747276730407553,1.0
